ID	区域	区域范围	道具	道具数量
1305	2	"7,8,5,4"	103	2
1305	3	"1,1,6,7"	"102,104"	"1,1"
1305	4	"7,1,5,7"	"103,104"	"1,1"
1306	0		"102,103,104,103,107"	"2,2,2,1,7"
1307	0		107	7
1307	1	"1,8,6,4"	102	2
1307	2	"7,8,5,4"	103	2
1307	3	"1,1,6,7"	"102,104"	"1,1"
1307	4	"7,1,5,7"	"103,104"	"1,1"
1308	0		107	7
1308	1	"1,8,6,4"	102	2
1308	2	"7,8,5,4"	103	2
1308	3	"1,1,6,7"	"102,104"	"1,1"
1308	4	"7,1,5,7"	"103,104"	"1,1"
1309	0		107	8
1309	1	"1,8,6,4"	102	2
1309	2	"7,8,5,4"	103	2
1309	3	"1,1,6,7"	"102,104"	"1,1"
1309	4	"7,1,5,7"	"103,104"	"1,1"
1310	0		107	8
1310	1	"1,8,6,4"	102	2
1310	2	"7,8,5,4"	103	2
1310	3	"1,1,6,7"	"102,104"	"1,1"
1310	4	"7,1,5,7"	"103,104"	"1,1"
1311	0		107	8
1311	1	"1,8,6,4"	102	2
1311	2	"7,8,5,4"	103	2
1311	3	"1,1,6,7"	"102,104"	"1,1"
1311	4	"7,1,5,7"	"103,104"	"1,1"
1312	0		107	6
1312	1	"1,8,6,4"	102	3
1312	2	"7,8,5,4"	103	3
1312	3	"1,1,6,7"	"102,104"	"1,1"
1312	4	"7,1,5,7"	"103,104"	"1,1"
2101	0		107	7
2101	1	"1,8,6,4"	102	2
2101	2	"7,8,5,4"	103	1
2101	3	"1,1,6,7"	"102,104"	"1,1"
2101	4	"7,1,5,7"	"103,104"	"1,1"
2102	0		107	7
2102	1	"1,8,6,4"	102	2
2102	2	"7,8,5,4"	103	1
2102	3	"1,1,6,7"	"102,104"	"1,1"
2102	4	"7,1,5,7"	"103,104"	"1,1"
2103	0		107	7
2103	1	"1,8,6,4"	102	2
2103	2	"7,8,5,4"	103	1
2103	3	"1,1,6,7"	"102,104"	"1,1"
2103	4	"7,1,5,7"	"103,104"	"1,1"
2104	0		107	7
2104	1	"1,8,6,4"	102	1
2104	2	"7,8,5,4"	103	1
2104	3	"1,1,6,7"	"102,104"	"1,1"
2104	4	"7,1,5,7"	"103,104"	"1,1"
2105	0		107	7
2105	1	"1,8,6,4"	102	2
2105	2	"7,8,5,4"	103	1
2105	3	"1,1,6,7"	"102,104"	"1,1"
2105	4	"7,1,5,7"	"103,104"	"1,1"
2106	0		107	7
2106	1	"1,8,6,4"	102	2
2106	2	"7,8,5,4"	103	1
2106	3	"1,1,6,7"	"102,104"	"1,1"
2106	4	"7,1,5,7"	"103,104"	"1,1"
2107	0		107	8
2108	0		"102,103,104,107"	"3,3,4,5"
2201	0		107	7
2201	1	"1,8,6,4"	102	2
2201	2	"7,8,5,4"	103	1
2201	3	"1,1,6,7"	"102,104"	"1,1"
2201	4	"7,1,5,7"	"103,104"	"1,1"
2202	0		"102,103,104"	"2,2,2"
2203	0		107	5
2203	1	"1,8,6,4"	102	2
2203	2	"7,8,5,4"	103	1
2203	3	"1,1,6,7"	"102,104"	"1,1"
2203	4	"7,1,5,7"	"103,104"	"1,1"
2204	0		"102,103,104,107"	"1,2,2,6"
2205	0		107	5
2205	1	"1,8,6,4"	102	2
2205	2	"7,8,5,4"	103	1
2205	3	"1,1,6,7"	"102,104"	"1,1"
2205	4	"7,1,5,7"	"103,104"	"1,1"
2206	0		"102,103,104,107"	"2,2,2,5"
2207	0		107	5
2207	1	"1,8,6,4"	102	2
2207	2	"7,8,5,4"	103	1
2207	3	"1,1,6,7"	"102,104"	"1,1"
2207	4	"7,1,5,7"	"103,104"	"1,1"
2208	0		"102,103,104,107"	"4,3,2,7"
2301	0		107	8
2301	1	"1,8,6,8"	102;103	2;1
2301	2	"7,8,5,8"	103;102	1;2
2301	3	"1,1,6,7"	"102,104"	"1,1"
2301	4	"7,1,5,7"	"103,104"	"1,1"
2302	0		107	7
2302	1	"1,8,6,8"	102	2
2302	2	"7,8,5,8"	103	1
2302	3	"1,1,6,7"	"102,104"	"1,1"
2302	4	"7,1,5,7"	"103,104"	"1,1"
2303	0		107	8
2303	1	"1,8,6,8"	102;103	2;1
2303	2	"7,8,5,8"	103;102	1;2
2303	3	"1,1,6,7"	"102,104"	"2,1"
2303	4	"7,1,5,7"	"103,104"	"1,1"
2304	0		107	7
2305	0		107	8
2305	1	"1,8,6,8"	102;103	2;1
2305	2	"7,8,5,8"	103;102	1;2
2305	3	"1,1,6,7"	"102,104"	"2,1"
2305	4	"7,1,5,7"	"103,104"	"2,1"
2306	0		"102,104,103,107"	"3,3,1,4"
2307	0		107	8
2307	1	"1,8,6,8"	102;103	2;1
2307	2	"7,8,5,8"	103;102	1;2
2307	3	"1,1,6,7"	"102,104"	"2,2"
2307	4	"7,1,5,7"	"103,104"	"2,2"
2308	0		"102,103,104,107"	"4,3,3,3"
3101	0		"102,103,104,107"	"10,10,8,6"
3102	0		"102,103,104,107"	"10,10,8,6"
3103	0		"102,103,104,107"	"10,10,8,6"
3201	0		"102,103,104,107"	"10,10,8,6"
3202	0		"102,103,104,107"	"10,10,8,6"
3203	0		"102,103,104,107"	"10,10,8,6"
3204	0		"102,103,104,107"	"10,10,8,6"
3205	0		"102,103,104,107"	"10,10,8,6"
3301	0		"102,103,104,107"	"10,10,8,6"
3302	0		"102,103,104,107"	"10,10,8,6"
3303	0		"102,103,104,107"	"10,10,8,6"
3304	0		"102,103,104,107"	"10,10,8,6"
